areaName,epiweek,new_confirmed,new_deceased,newAdmissions,hospitalCases,covidOccupiedMVBeds,latitude,longitude
East of England,1,147600.0,1101.0,4583,35717.0,2550.0,52.1766,0.425889
East of England,2,94040.0,1431.0,4306,39657.0,3068.0,52.1766,0.425889
East of England,3,98303.0,1461.0,3914,37896.0,2874.0,52.1766,0.425889
East of England,4,90432.0,1192.0,3318,34978.0,2869.0,52.1766,0.425889
East of England,5,71117.0,876.0,2574,29870.0,2398.0,52.1766,0.425889
East of England,6,47686.0,621.0,2039,24232.0,1870.0,52.1766,0.425889
East of England,7,36293.0,459.0,1620,18912.0,1601.0,52.1766,0.425889
East of England,8,27460.0,286.0,1449,15850.0,1290.0,52.1766,0.425889
East of England,9,31038.0,233.0,1362,13171.0,1088.0,52.1766,0.425889
East of England,10,51459.0,176.0,1436,11904.0,893.0,52.1766,0.425889
East of England,11,65360.0,173.0,1665,12282.0,811.0,52.1766,0.425889
East of England,12,63488.0,185.0,1678,13317.0,693.0,52.1766,0.425889
East of England,13,47507.0,221.0,1647,13538.0,577.0,52.1766,0.425889
East of England,14,30750.0,506.0,2315,17122.0,906.0,52.1766,0.425889
East of England,15,22947.0,842.0,2824,22281.0,2148.0,52.1766,0.425889
East of England,16,16747.0,757.0,2267,22296.0,2416.0,52.1766,0.425889
East of England,17,12351.0,651.0,1820,19483.0,2235.0,52.1766,0.425889
East of England,18,11331.0,536.0,1775,16637.0,1745.0,52.1766,0.425889
East of England,19,8955.0,396.0,1309,13572.0,1332.0,52.1766,0.425889
East of England,20,7739.0,293.0,1010,11183.0,1092.0,52.1766,0.425889
East of England,21,6745.0,254.0,920,9454.0,944.0,52.1766,0.425889
East of England,22,6841.0,220.0,764,7901.0,694.0,52.1766,0.425889
East of England,23,10160.0,148.0,804,7058.0,534.0,52.1766,0.425889
East of England,24,13081.0,109.0,875,6354.0,499.0,52.1766,0.425889
East of England,25,19142.0,108.0,1108,7268.0,449.0,52.1766,0.425889
East of England,26,27290.0,114.0,1327,8954.0,492.0,52.1766,0.425889
East of England,27,37168.0,155.0,1564,10410.0,469.0,52.1766,0.425889
East of England,28,45870.0,143.0,1613,12254.0,557.0,52.1766,0.425889
East of England,29,32234.0,193.0,1556,12260.0,538.0,52.1766,0.425889
East of England,30,23576.0,171.0,1276,11513.0,643.0,52.1766,0.425889
East of England,31,22638.0,126.0,1084,9636.0,581.0,52.1766,0.425889
East of England,32,21977.0,143.0,1116,8766.0,552.0,52.1766,0.425889
East of England,33,21735.0,140.0,1089,8638.0,626.0,52.1766,0.425889
East of England,34,20432.0,122.0,944,8144.0,639.0,52.1766,0.425889
East of England,35,22737.0,137.0,830,7586.0,645.0,52.1766,0.425889
East of England,36,20988.0,107.0,725,6996.0,656.0,52.1766,0.425889
East of England,37,17666.0,87.0,536,4603.0,642.0,52.1766,0.425889
East of England,38,21304.0,68.0,361,3254.0,438.0,52.1766,0.425889
East of England,39,22799.0,48.0,363,2890.0,355.0,52.1766,0.425889
East of England,40,27907.0,65.0,471,3098.0,442.0,52.1766,0.425889
East of England,41,34276.0,77.0,589,3869.0,505.0,52.1766,0.425889
East of England,42,38118.0,109.0,798,5289.0,668.0,52.1766,0.425889
East of England,43,35071.0,181.0,984,6999.0,738.0,52.1766,0.425889
East of England,44,29922.0,197.0,1011,8563.0,905.0,52.1766,0.425889
East of England,45,33427.0,206.0,1036,9333.0,1095.0,52.1766,0.425889
East of England,46,38895.0,241.0,1124,9552.0,1081.0,52.1766,0.425889
East of England,47,38738.0,225.0,1123,10310.0,1134.0,52.1766,0.425889
East of England,48,43127.0,255.0,1120,10541.0,1148.0,52.1766,0.425889
East of England,49,48038.0,247.0,1332,11035.0,1116.0,52.1766,0.425889
East of England,50,84193.0,312.0,1626,12947.0,1195.0,52.1766,0.425889
East of England,51,122840.0,408.0,2305,16117.0,1365.0,52.1766,0.425889
East of England,52,152386.0,594.0,2985,21399.0,1507.0,52.1766,0.425889
East of England,53,51051.0,643.0,2659,19866.0,1268.0,52.1766,0.425889
London,1,247651.0,1428.0,8460,76193.0,7991.0,51.4923,-0.30866
London,2,150928.0,1646.0,7464,79925.0,9414.0,51.4923,-0.30866
London,3,129215.0,1557.0,6198,74816.0,9896.0,51.4923,-0.30866
London,4,109386.0,1071.0,4694,64063.0,9450.0,51.4923,-0.30866
London,5,84558.0,778.0,3683,54565.0,8470.0,51.4923,-0.30866
London,6,58590.0,474.0,2802,45089.0,7344.0,51.4923,-0.30866
London,7,43132.0,353.0,2050,36724.0,6114.0,51.4923,-0.30866
London,8,33409.0,221.0,1478,29352.0,4833.0,51.4923,-0.30866
London,9,35646.0,162.0,1480,23658.0,3913.0,51.4923,-0.30866
London,10,50888.0,122.0,1574,21052.0,3043.0,51.4923,-0.30866
London,11,61978.0,111.0,1607,20640.0,2536.0,51.4923,-0.30866
London,12,64005.0,124.0,1618,20466.0,1991.0,51.4923,-0.30866
London,13,49829.0,121.0,1810,21163.0,1746.0,51.4923,-0.30866
London,14,33452.0,929.0,4650,38531.0,3829.0,51.4923,-0.30866
London,15,25398.0,1522.0,5839,55026.0,7929.0,51.4923,-0.30866
London,16,19398.0,1105.0,3711,49318.0,8497.0,51.4923,-0.30866
London,17,13562.0,722.0,2583,40907.0,7724.0,51.4923,-0.30866
London,18,12463.0,438.0,2139,32426.0,6289.0,51.4923,-0.30866
London,19,10452.0,293.0,1764,26391.0,4859.0,51.4923,-0.30866
London,20,9559.0,161.0,1146,21857.0,3760.0,51.4923,-0.30866
London,21,9255.0,135.0,1093,17860.0,2986.0,51.4923,-0.30866
London,22,11149.0,91.0,951,15387.0,2354.0,51.4923,-0.30866
London,23,17710.0,79.0,1144,13921.0,1783.0,51.4923,-0.30866
London,24,21321.0,77.0,1266,13431.0,1604.0,51.4923,-0.30866
London,25,29047.0,71.0,1595,13813.0,1542.0,51.4923,-0.30866
London,26,40905.0,85.0,1921,16065.0,1500.0,51.4923,-0.30866
London,27,51293.0,112.0,2383,18563.0,1474.0,51.4923,-0.30866
London,28,60845.0,138.0,2525,21202.0,1706.0,51.4923,-0.30866
London,29,44998.0,181.0,2438,22404.0,1835.0,51.4923,-0.30866
London,30,33499.0,180.0,2042,22325.0,2006.0,51.4923,-0.30866
London,31,32765.0,164.0,1816,21104.0,2099.0,51.4923,-0.30866
London,32,31242.0,174.0,1612,19398.0,2107.0,51.4923,-0.30866
London,33,28280.0,157.0,1518,18445.0,2206.0,51.4923,-0.30866
London,34,26513.0,135.0,1431,17484.0,2110.0,51.4923,-0.30866
London,35,26928.0,129.0,1301,16404.0,2080.0,51.4923,-0.30866
London,36,25211.0,108.0,1287,14599.0,2030.0,51.4923,-0.30866
London,37,20350.0,76.0,823,10835.0,1807.0,51.4923,-0.30866
London,38,21005.0,84.0,795,8340.0,1632.0,51.4923,-0.30866
London,39,22629.0,116.0,794,8172.0,1522.0,51.4923,-0.30866
London,40,25997.0,97.0,766,8180.0,1499.0,51.4923,-0.30866
London,41,31724.0,91.0,935,8414.0,1393.0,51.4923,-0.30866
London,42,37101.0,108.0,1179,9736.0,1593.0,51.4923,-0.30866
London,43,38194.0,158.0,1388,11691.0,1803.0,51.4923,-0.30866
London,44,35361.0,181.0,1537,13637.0,2170.0,51.4923,-0.30866
London,45,40158.0,205.0,1509,15002.0,2312.0,51.4923,-0.30866
London,46,47766.0,186.0,1668,16061.0,2520.0,51.4923,-0.30866
London,47,49970.0,246.0,1747,17842.0,2785.0,51.4923,-0.30866
London,48,57431.0,278.0,1765,18940.0,3045.0,51.4923,-0.30866
London,49,81072.0,312.0,2070,19732.0,3117.0,51.4923,-0.30866
London,50,207639.0,329.0,2947,23182.0,3146.0,51.4923,-0.30866
London,51,249483.0,426.0,4561,31886.0,3466.0,51.4923,-0.30866
London,52,251964.0,705.0,6475,48010.0,4550.0,51.4923,-0.30866
London,53,95664.0,856.0,5060,37500.0,4349.0,51.4923,-0.30866
Midlands,1,275868.0,1257.0,7138,51369.0,3656.0,52.7269,-1.45821
Midlands,2,179165.0,1713.0,7927,61469.0,4390.0,52.7269,-1.45821
Midlands,3,175596.0,1864.0,7301,64822.0,5074.0,52.7269,-1.45821
Midlands,4,150032.0,1738.0,5904,60248.0,5260.0,52.7269,-1.45821
Midlands,5,113137.0,1441.0,4903,52902.0,4914.0,52.7269,-1.45821
Midlands,6,76016.0,1113.0,3753,44162.0,4298.0,52.7269,-1.45821
Midlands,7,58455.0,872.0,3314,36152.0,3550.0,52.7269,-1.45821
Midlands,8,41684.0,602.0,2638,31376.0,2973.0,52.7269,-1.45821
Midlands,9,42239.0,446.0,2257,25975.0,2407.0,52.7269,-1.45821
Midlands,10,63005.0,395.0,2263,21936.0,1909.0,52.7269,-1.45821
Midlands,11,84020.0,308.0,2592,21024.0,1456.0,52.7269,-1.45821
Midlands,12,93360.0,331.0,2946,21813.0,1142.0,52.7269,-1.45821
Midlands,13,75187.0,316.0,3133,23821.0,1014.0,52.7269,-1.45821
Midlands,14,51651.0,959.0,5445,35106.0,1826.0,52.7269,-1.45821
Midlands,15,37983.0,1596.0,5788,48012.0,3872.0,52.7269,-1.45821
Midlands,16,27360.0,1350.0,4035,44328.0,3899.0,52.7269,-1.45821
Midlands,17,20029.0,1123.0,3173,36721.0,3407.0,52.7269,-1.45821
Midlands,18,17847.0,917.0,2601,30544.0,2511.0,52.7269,-1.45821
Midlands,19,14520.0,717.0,2232,25080.0,1801.0,52.7269,-1.45821
Midlands,20,13042.0,520.0,1890,21483.0,1454.0,52.7269,-1.45821
Midlands,21,11589.0,438.0,1720,19470.0,1167.0,52.7269,-1.45821
Midlands,22,12074.0,319.0,1509,16299.0,925.0,52.7269,-1.45821
Midlands,23,18007.0,237.0,1599,14309.0,884.0,52.7269,-1.45821
Midlands,24,24176.0,210.0,1819,14298.0,720.0,52.7269,-1.45821
Midlands,25,35398.0,218.0,2165,15399.0,719.0,52.7269,-1.45821
Midlands,26,52588.0,249.0,2780,17936.0,757.0,52.7269,-1.45821
Midlands,27,68096.0,288.0,3389,22266.0,900.0,52.7269,-1.45821
Midlands,28,85977.0,314.0,3533,26348.0,1113.0,52.7269,-1.45821
Midlands,29,59235.0,413.0,3224,26334.0,1219.0,52.7269,-1.45821
Midlands,30,44888.0,351.0,2775,24062.0,1360.0,52.7269,-1.45821
Midlands,31,45016.0,337.0,2483,20952.0,1343.0,52.7269,-1.45821
Midlands,32,45557.0,319.0,2324,19402.0,1469.0,52.7269,-1.45821
Midlands,33,46160.0,286.0,2201,18615.0,1386.0,52.7269,-1.45821
Midlands,34,43986.0,315.0,2132,17689.0,1448.0,52.7269,-1.45821
Midlands,35,46126.0,297.0,1977,16660.0,1421.0,52.7269,-1.45821
Midlands,36,46606.0,256.0,1932,16236.0,1350.0,52.7269,-1.45821
Midlands,37,42015.0,187.0,1262,11397.0,1343.0,52.7269,-1.45821
Midlands,38,52368.0,179.0,1036,9026.0,1314.0,52.7269,-1.45821
Midlands,39,52507.0,183.0,1170,8885.0,1284.0,52.7269,-1.45821
Midlands,40,61862.0,189.0,1299,9768.0,1309.0,52.7269,-1.45821
Midlands,41,71511.0,216.0,1587,11135.0,1419.0,52.7269,-1.45821
Midlands,42,71671.0,319.0,1980,13831.0,1656.0,52.7269,-1.45821
Midlands,43,71552.0,398.0,2392,17305.0,1989.0,52.7269,-1.45821
Midlands,44,68814.0,525.0,2845,21647.0,2441.0,52.7269,-1.45821
Midlands,45,78271.0,661.0,3038,24735.0,2742.0,52.7269,-1.45821
Midlands,46,86988.0,763.0,3585,28192.0,2763.0,52.7269,-1.45821
Midlands,47,76205.0,880.0,3290,31502.0,3045.0,52.7269,-1.45821
Midlands,48,73020.0,899.0,3018,31152.0,3233.0,52.7269,-1.45821
Midlands,49,72623.0,899.0,3138,29452.0,2905.0,52.7269,-1.45821
Midlands,50,99917.0,837.0,3260,30121.0,2936.0,52.7269,-1.45821
Midlands,51,147978.0,833.0,3632,31337.0,2712.0,52.7269,-1.45821
Midlands,52,235798.0,891.0,4968,35496.0,2726.0,52.7269,-1.45821
Midlands,53,53159.0,739.0,3406,26125.0,2089.0,52.7269,-1.45821
North East and Yorkshire,1,237442.0,710.0,5331,35883.0,2031.0,54.5378,-2.18039
North East and Yorkshire,2,139062.0,937.0,5726,43670.0,2440.0,54.5378,-2.18039
North East and Yorkshire,3,125118.0,1017.0,5368,46131.0,2812.0,54.5378,-2.18039
North East and Yorkshire,4,101740.0,1001.0,4603,43162.0,2735.0,54.5378,-2.18039
North East and Yorkshire,5,74464.0,866.0,3702,38492.0,2648.0,54.5378,-2.18039
North East and Yorkshire,6,50027.0,667.0,3034,32600.0,2444.0,54.5378,-2.18039
North East and Yorkshire,7,39544.0,557.0,2538,27176.0,2254.0,54.5378,-2.18039
North East and Yorkshire,8,28206.0,388.0,2158,23233.0,1949.0,54.5378,-2.18039
North East and Yorkshire,9,29515.0,301.0,1897,19763.0,1649.0,54.5378,-2.18039
North East and Yorkshire,10,43503.0,258.0,1992,17684.0,1272.0,54.5378,-2.18039
North East and Yorkshire,11,60350.0,210.0,2289,17679.0,917.0,54.5378,-2.18039
North East and Yorkshire,12,71206.0,240.0,2683,19300.0,850.0,54.5378,-2.18039
North East and Yorkshire,13,59563.0,277.0,2925,21525.0,818.0,54.5378,-2.18039
North East and Yorkshire,14,41568.0,662.0,4110,28818.0,1103.0,54.5378,-2.18039
North East and Yorkshire,15,32035.0,1107.0,4814,36373.0,2377.0,54.5378,-2.18039
North East and Yorkshire,16,25026.0,1006.0,3739,34913.0,2575.0,54.5378,-2.18039
North East and Yorkshire,17,19301.0,934.0,3035,29916.0,2134.0,54.5378,-2.18039
North East and Yorkshire,18,17524.0,837.0,2576,25702.0,1833.0,54.5378,-2.18039
North East and Yorkshire,19,13809.0,664.0,1975,21850.0,1483.0,54.5378,-2.18039
North East and Yorkshire,20,12277.0,509.0,1683,17824.0,1238.0,54.5378,-2.18039
North East and Yorkshire,21,10378.0,406.0,1281,14485.0,969.0,54.5378,-2.18039
North East and Yorkshire,22,10974.0,329.0,1165,12199.0,714.0,54.5378,-2.18039
North East and Yorkshire,23,16945.0,244.0,1276,11301.0,666.0,54.5378,-2.18039
North East and Yorkshire,24,23708.0,179.0,1427,11098.0,598.0,54.5378,-2.18039
North East and Yorkshire,25,36447.0,144.0,1865,12073.0,624.0,54.5378,-2.18039
North East and Yorkshire,26,54254.0,179.0,2227,14279.0,706.0,54.5378,-2.18039
North East and Yorkshire,27,71614.0,187.0,2898,17748.0,877.0,54.5378,-2.18039
North East and Yorkshire,28,82806.0,226.0,3252,20956.0,1010.0,54.5378,-2.18039
North East and Yorkshire,29,55376.0,334.0,3234,23313.0,1192.0,54.5378,-2.18039
North East and Yorkshire,30,40197.0,288.0,2682,22572.0,1467.0,54.5378,-2.18039
North East and Yorkshire,31,37877.0,304.0,2339,19233.0,1221.0,54.5378,-2.18039
North East and Yorkshire,32,35519.0,272.0,2257,17203.0,1143.0,54.5378,-2.18039
North East and Yorkshire,33,34006.0,223.0,2059,16562.0,1123.0,54.5378,-2.18039
North East and Yorkshire,34,33234.0,228.0,1799,15380.0,1165.0,54.5378,-2.18039
North East and Yorkshire,35,37010.0,222.0,1794,14955.0,1154.0,54.5378,-2.18039
North East and Yorkshire,36,37341.0,232.0,1778,15002.0,1257.0,54.5378,-2.18039
North East and Yorkshire,37,31879.0,178.0,1342,10694.0,1243.0,54.5378,-2.18039
North East and Yorkshire,38,39734.0,191.0,1256,9080.0,1060.0,54.5378,-2.18039
North East and Yorkshire,39,41791.0,170.0,1391,9689.0,1182.0,54.5378,-2.18039
North East and Yorkshire,40,55137.0,218.0,1657,11072.0,1350.0,54.5378,-2.18039
North East and Yorkshire,41,64753.0,310.0,2022,13393.0,1469.0,54.5378,-2.18039
North East and Yorkshire,42,64841.0,378.0,2471,16594.0,1651.0,54.5378,-2.18039
North East and Yorkshire,43,67595.0,512.0,2999,20344.0,1802.0,54.5378,-2.18039
North East and Yorkshire,44,62498.0,632.0,3257,25482.0,2008.0,54.5378,-2.18039
