,state,latitude,longitude,fips,date_today,confirmed,deaths,recovered,active,hospitalization,new_cases
0,Alabama,32.3182,-86.9023,1.0,2020-05-03,7977,290,0.0,7687.0,12.0,277
0,Alabama,32.3182,-86.9023,1.0,2020-05-04,8203,298,0.0,7905.0,29.0,226
0,Alabama,32.3182,-86.9023,1.0,2020-05-05,8520,315,391.0,198.0,43.0,317
0,Alabama,32.3182,-86.9023,1.0,2020-05-06,8769,343,405.0,192.0,51.0,249
0,Alabama,32.3182,-86.9023,1.0,2020-05-07,9115,369,409.0,215.0,20.0,346
0,Alabama,32.3182,-86.9023,1.0,2020-05-08,9437,383,416.0,212.0,29.0,322
0,Alabama,32.3182,-86.9023,1.0,2020-05-09,9720,390,428.0,209.0,21.0,283
0,Alabama,32.3182,-86.9023,1.0,2020-05-10,9982,393,438.0,208.0,12.0,262
0,Alabama,32.3182,-86.9023,1.0,2020-05-11,10262,403,443.0,212.0,16.0,280
0,Alabama,32.3182,-86.9023,1.0,2020-05-12,10566,435,443.0,219.0,31.0,304
0,Alabama,32.3182,-86.9023,1.0,2020-05-13,10822,450,477.0,191.0,30.0,256
0,Alabama,32.3182,-86.9023,1.0,2020-05-14,11161,473,477.0,204.0,33.0,339
0,Alabama,32.3182,-86.9023,1.0,2020-05-15,11494,483,480.0,214.0,27.0,333
0,Alabama,32.3182,-86.9023,1.0,2020-05-16,11828,485,487.0,222.0,10.0,334
0,Alabama,32.3182,-86.9023,1.0,2020-05-17,12137,488,496.0,238.0,5.0,309
0,Alabama,32.3182,-86.9023,1.0,2020-05-18,12438,489,498.0,248.0,24.0,301
0,Alabama,32.3182,-86.9023,1.0,2020-05-19,12825,504,498.0,258.0,37.0,387
0,Alabama,32.3182,-86.9023,1.0,2020-05-20,13186,522,504.0,262.0,40.0,361
0,Alabama,32.3182,-86.9023,1.0,2020-05-21,13590,529,528.0,248.0,35.0,404
0,Alabama,32.3182,-86.9023,1.0,2020-05-22,13954,541,7951.0,5462.0,33.0,364
0,Alabama,32.3182,-86.9023,1.0,2020-05-23,14328,549,7951.0,5828.0,28.0,374
0,Alabama,32.3182,-86.9023,1.0,2020-05-24,14676,551,7951.0,6174.0,23.0,348
0,Alabama,32.3182,-86.9023,1.0,2020-05-25,15309,566,7951.0,6792.0,17.0,633
0,Alabama,32.3182,-86.9023,1.0,2020-05-26,15899,580,7951.0,7368.0,42.0,590
0,Alabama,32.3182,-86.9023,1.0,2020-05-27,16263,583,7951.0,7729.0,48.0,364
0,Alabama,32.3182,-86.9023,1.0,2020-05-28,16749,591,9355.0,6803.0,46.0,486
0,Alabama,32.3182,-86.9023,1.0,2020-05-29,17262,610,9355.0,7297.0,35.0,513
0,Alabama,32.3182,-86.9023,1.0,2020-05-30,17689,618,9355.0,7716.0,26.0,427
0,Alabama,32.3182,-86.9023,1.0,2020-05-31,18200,630,9355.0,8215.0,18.0,511
0,Alabama,32.3182,-86.9023,1.0,2020-06-01,18525,646,9355.0,8524.0,12.0,325
0,Alabama,32.3182,-86.9023,1.0,2020-06-02,18734,653,9355.0,8726.0,23.0,209
0,Alabama,32.3182,-86.9023,1.0,2020-06-03,18954,653,11395.0,6906.0,21.0,220
0,Alabama,32.3182,-86.9023,1.0,2020-06-04,19262,653,11395.0,7214.0,29.0,308
0,Alabama,32.3182,-86.9023,1.0,2020-06-05,19910,676,11395.0,7839.0,20.0,648
0,Alabama,32.3182,-86.9023,1.0,2020-06-06,20355,689,11395.0,8271.0,44.0,445
0,Alabama,32.3182,-86.9023,1.0,2020-06-07,20777,692,11395.0,8690.0,29.0,422
0,Alabama,32.3182,-86.9023,1.0,2020-06-08,21268,718,11395.0,9155.0,32.0,491
0,Alabama,32.3182,-86.9023,1.0,2020-06-09,21834,729,11395.0,9710.0,33.0,566
0,Alabama,32.3182,-86.9023,1.0,2020-06-10,22659,744,13508.0,8407.0,42.0,825
0,Alabama,32.3182,-86.9023,1.0,2020-06-11,23370,755,13508.0,9107.0,36.0,711
0,Alabama,32.3182,-86.9023,1.0,2020-06-12,24405,769,13508.0,10128.0,37.0,1035
0,Alabama,32.3182,-86.9023,1.0,2020-06-13,25364,773,13508.0,11083.0,39.0,959
0,Alabama,32.3182,-86.9023,1.0,2020-06-14,26182,773,13508.0,11901.0,14.0,818
0,Alabama,32.3182,-86.9023,1.0,2020-06-15,26485,774,13508.0,12203.0,4.0,303
0,Alabama,32.3182,-86.9023,1.0,2020-06-16,27034,785,13508.0,12741.0,56.0,549
0,Alabama,32.3182,-86.9023,1.0,2020-06-17,27941,790,15974.0,11177.0,37.0,907
0,Alabama,32.3182,-86.9023,1.0,2020-06-18,28676,810,15974.0,11892.0,21.0,735
0,Alabama,32.3182,-86.9023,1.0,2020-06-19,29225,822,15974.0,12429.0,43.0,549
0,Alabama,32.3182,-86.9023,1.0,2020-06-20,29683,838,15974.0,12871.0,27.0,458
0,Alabama,32.3182,-86.9023,1.0,2020-06-21,30122,839,15974.0,13309.0,17.0,439
0,Alabama,32.3182,-86.9023,1.0,2020-06-22,30771,841,15974.0,13956.0,11.0,649
0,Alabama,32.3182,-86.9023,1.0,2020-06-23,31889,864,15974.0,15051.0,50.0,1118
0,Alabama,32.3182,-86.9023,1.0,2020-06-24,32878,891,18866.0,13121.0,46.0,989
0,Alabama,32.3182,-86.9023,1.0,2020-06-25,33880,896,18866.0,14118.0,45.0,1002
0,Alabama,32.3182,-86.9023,1.0,2020-06-26,34903,907,18866.0,15130.0,41.0,1023
0,Alabama,32.3182,-86.9023,1.0,2020-06-27,35083,919,18866.0,15298.0,44.0,180
0,Alabama,32.3182,-86.9023,1.0,2020-06-28,36503,919,18866.0,16718.0,6.0,1420
0,Alabama,32.3182,-86.9023,1.0,2020-06-29,37589,929,18866.0,17794.0,22.0,1086
0,Alabama,32.3182,-86.9023,1.0,2020-06-30,38477,950,18866.0,18661.0,44.0,888
0,Alabama,32.3182,-86.9023,1.0,2020-07-01,39647,972,18866.0,19809.0,34.0,1170
0,Alabama,32.3182,-86.9023,1.0,2020-07-02,41340,985,22082.0,18273.0,32.0,1693
0,Alabama,32.3182,-86.9023,1.0,2020-07-03,42255,1006,22082.0,19167.0,48.0,915
0,Alabama,32.3182,-86.9023,1.0,2020-07-04,43216,1007,22082.0,20127.0,23.0,961
0,Alabama,32.3182,-86.9023,1.0,2020-07-05,44022,1007,22082.0,20933.0,3.0,806
0,Alabama,32.3182,-86.9023,1.0,2020-07-06,44932,1007,22082.0,21843.0,5.0,910
0,Alabama,32.3182,-86.9023,1.0,2020-07-07,46348,1033,22082.0,23233.0,47.0,1416
0,Alabama,32.3182,-86.9023,1.0,2020-07-08,48149,1058,22082.0,25009.0,45.0,1801
0,Alabama,32.3182,-86.9023,1.0,2020-07-09,49695,1068,25783.0,22844.0,33.0,1546
0,Alabama,32.3182,-86.9023,1.0,2020-07-10,51329,1104,25783.0,24442.0,50.0,1634
0,Alabama,32.3182,-86.9023,1.0,2020-07-11,52802,1114,25783.0,25905.0,3656.0,1473
0,Alabama,32.3182,-86.9023,1.0,2020-07-12,54781,1121,25783.0,27877.0,0.0,1979
0,Alabama,32.3182,-86.9023,1.0,2020-07-13,56168,1124,25783.0,29261.0,0.0,1387
0,Alabama,32.3182,-86.9023,1.0,2020-07-14,58284,1164,25783.0,31337.0,378.0,2116
0,Alabama,32.3182,-86.9023,1.0,2020-07-15,60194,1211,29736.0,29247.0,168.0,1910
0,Alabama,32.3182,-86.9023,1.0,2020-07-16,62128,1230,29736.0,31162.0,293.0,1934
0,Alabama,32.3182,-86.9023,1.0,2020-07-17,64152,1265,29736.0,33151.0,0.0,2024
0,Alabama,32.3182,-86.9023,1.0,2020-07-18,66181,1286,29736.0,35159.0,198.0,2029
0,Alabama,32.3182,-86.9023,1.0,2020-07-19,67733,1287,29736.0,36710.0,0.0,1552
0,Alabama,32.3182,-86.9023,1.0,2020-07-20,69236,1291,29736.0,38209.0,586.0,1503
0,Alabama,32.3182,-86.9023,1.0,2020-07-21,70600,1303,29736.0,39561.0,170.0,1364
0,Alabama,32.3182,-86.9023,1.0,2020-07-22,72594,1364,29736.0,41494.0,0.0,1994
0,Alabama,32.3182,-86.9023,1.0,2020-07-23,74685,1397,32510.0,40778.0,457.0,2091
0,Alabama,32.3182,-86.9023,1.0,2020-07-24,76795,1438,32510.0,42847.0,162.0,2110
0,Alabama,32.3182,-86.9023,1.0,2020-07-25,78188,1456,32510.0,44222.0,0.0,1393
0,Alabama,32.3182,-86.9023,1.0,2020-07-26,79948,1473,32510.0,45965.0,0.0,1760
0,Alabama,32.3182,-86.9023,1.0,2020-07-27,81256,1491,32510.0,47255.0,537.0,1308
0,Alabama,32.3182,-86.9023,1.0,2020-07-28,82698,1491,32510.0,48697.0,199.0,1442
0,Alabama,32.3182,-86.9023,1.0,2020-07-29,84652,1538,32510.0,50604.0,0.0,1954
0,Alabama,32.3182,-86.9023,1.0,2020-07-30,86664,1565,35401.0,49698.0,177.0,2012
0,Alabama,32.3182,-86.9023,1.0,2020-07-31,88266,1580,35401.0,51285.0,451.0,1602
0,Alabama,32.3182,-86.9023,1.0,2020-08-01,90299,1603,35401.0,53295.0,0.0,2033
0,Alabama,32.3182,-86.9023,1.0,2020-08-02,91458,1627,35401.0,54430.0,0.0,1159
0,Alabama,32.3182,-86.9023,1.0,2020-08-03,92502,1633,35401.0,55468.0,344.0,1044
0,Alabama,32.3182,-86.9023,1.0,2020-08-04,93457,1666,35401.0,56390.0,235.0,955
0,Alabama,32.3182,-86.9023,1.0,2020-08-05,95323,1695,37923.0,55705.0,0.0,1866
0,Alabama,32.3182,-86.9023,1.0,2020-08-06,97044,1714,37923.0,57407.0,213.0,1721
0,Alabama,32.3182,-86.9023,1.0,2020-08-07,98895,1735,37923.0,59237.0,224.0,1851
0,Alabama,32.3182,-86.9023,1.0,2020-08-08,99854,1755,37923.0,60176.0,0.0,959
0,Alabama,32.3182,-86.9023,1.0,2020-08-09,101466,1768,37923.0,61775.0,0.0,1612
0,Alabama,32.3182,-86.9023,1.0,2020-08-10,102391,1797,37923.0,62671.0,533.0,925
0,Alabama,32.3182,-86.9023,1.0,2020-08-11,103485,1847,37923.0,63715.0,0.0,1094
0,Alabama,32.3182,-86.9023,1.0,2020-08-12,104219,1882,41523.0,60814.0,222.0,734
0,Alabama,32.3182,-86.9023,1.0,2020-08-13,104976,1890,41523.0,61563.0,164.0,757
0,Alabama,32.3182,-86.9023,1.0,2020-08-14,106096,1893,41523.0,62680.0,0.0,1120
0,Alabama,32.3182,-86.9023,1.0,2020-08-15,106926,1896,41523.0,63507.0,151.0,830
0,Alabama,32.3182,-86.9023,1.0,2020-08-16,107667,1898,41523.0,64246.0,0.0,741
0,Alabama,32.3182,-86.9023,1.0,2020-08-17,109092,1925,41523.0,65644.0,351.0,1425
0,Alabama,32.3182,-86.9023,1.0,2020-08-18,110415,1936,41523.0,66956.0,0.0,1323
0,Alabama,32.3182,-86.9023,1.0,2020-08-19,111696,1944,41523.0,68229.0,122.0,1281
0,Alabama,32.3182,-86.9023,1.0,2020-08-20,112737,1974,44684.0,66079.0,250.0,1041
0,Alabama,32.3182,-86.9023,1.0,2020-08-21,114212,1996,44684.0,67532.0,0.0,1475
0,Alabama,32.3182,-86.9023,1.0,2020-08-22,114809,2011,44684.0,68114.0,172.0,597
0,Alabama,32.3182,-86.9023,1.0,2020-08-23,115485,2013,44684.0,68788.0,0.0,676
0,Alabama,32.3182,-86.9023,1.0,2020-08-24,116045,2024,44684.0,69337.0,291.0,560
0,Alabama,32.3182,-86.9023,1.0,2020-08-25,118190,2037,44684.0,71469.0,0.0,2145
0,Alabama,32.3182,-86.9023,1.0,2020-08-26,119904,2045,48028.0,69831.0,212.0,1714
0,Alabama,32.3182,-86.9023,1.0,2020-08-27,121041,2076,48028.0,70937.0,0.0,1137
0,Alabama,32.3182,-86.9023,1.0,2020-08-28,122879,2107,48028.0,72744.0,0.0,1838
