Experiment_ID,Adjacency_Type,Horizon,MAE,MAE,MAE,MAE,MAE,MAE,MAE,Pearson_Correlation,Pearson_Correlation,Pearson_Correlation,Pearson_Correlation,Pearson_Correlation,Pearson_Correlation,Pearson_Correlation,R2_Score,R2_Score,R2_Score,R2_Score,R2_Score,R2_Score,R2_Score,RMSE,RMSE,RMSE,RMSE,RMSE,RMSE,RMSE
,,,East of England,London,Midlands,North East and Yorkshire,North West,South East,South West,East of England,London,Midlands,North East and Yorkshire,North West,South East,South West,East of England,London,Midlands,North East and Yorkshire,North West,South East,South West,East of England,London,Midlands,North East and Yorkshire,North West,South East,South West
1,static,3,400.8645,53.16964,90.31808,73.35153,169.1379,31.086168,66.326225,0.868280791114953,0.2921838193761932,0.5436038825259522,0.6045105430624236,0.9218667642804802,0.21435244449365098,0.5326160960214165,0.6308762370644908,-32.98056368199808,-4.6553081536491066,-0.7437663295153873,0.8098096663871516,-6.00060502541786,-368.0757607005576,504.62262,70.70066,108.62162,89.41143,205.37817,37.99155,72.289474
2,dynamic,3,455.90356,56.175747,39.251194,40.301373,152.5867,55.30177,33.912563,0.9140507396009185,0.09572028268497033,0.6465849630812769,0.7543395839455048,0.9250342461486823,0.3509576594112661,0.005218837707711281,0.33859874298762327,-34.13213694881481,0.020084297738210743,0.45506447088921975,0.8308472511097483,-22.085635016965107,-106.50401308127249,675.48096,71.888664,45.214993,49.9829,193.68663,68.99061,39.01483
3,hybrid,3,261.88727,36.029663,69.74992,40.422863,88.41362,91.91843,37.62837,0.9275516812169453,-0.1724744751624522,0.5099617308172255,0.7626267862446748,0.9806218281682901,0.5774202443586312,0.17462638685967882,0.831576320312559,-12.804588346927297,-3.0049101608241493,0.3621191287858049,0.951277381848164,-55.14456712124531,-180.90943859232218,340.86475,45.062958,91.408066,54.077755,103.95022,107.59029,50.75103
4,static,7,374.8825,48.35416,63.927673,42.700542,188.57135,63.029427,54.369957,0.920472337390426,0.015039216867758503,0.6763505867756627,0.8738645495792282,0.9726253805350182,0.5152381040906446,-0.0947376936438963,0.5997060655748925,-26.67544662821876,-1.809225049396984,0.35079585425213655,0.7728847412591417,-34.83310419490448,-334.13149511289566,529.291,63.534325,77.280136,54.89877,221.44476,85.755196,67.42353
5,dynamic,7,350.49847,51.172108,43.815174,46.539074,144.97107,53.77043,51.24937,0.8919386185191078,0.18995047602527296,0.6343109769049219,0.8915657547569258,0.9499335652637416,0.39355879124871584,-0.22637011991691147,0.6046278973509025,-32.66005107680927,-0.2674608602269719,0.36996334769590755,0.8614270765199273,-29.373757293556668,-231.53326350800978,526.02686,70.06782,51.908897,54.08228,172.97423,78.95279,56.16248
6,hybrid,7,270.7536,74.75122,101.63747,65.50067,105.067505,120.15605,81.66187,0.9089675026171053,-0.00352413400129896,0.5220667618748137,0.7427884970539419,0.9831213366242613,0.23792735636432003,-0.03499118732060792,0.7989088391363812,-55.97484761983388,-5.679524806070968,-0.4318180614107683,0.9010539561346025,-93.4877267961799,-710.6423139184991,375.147,91.15966,119.164604,81.52971,146.16428,139.25339,98.250465
7,static,14,475.7891,81.130615,48.264317,57.271732,260.76733,68.01405,53.878235,0.8373961967697618,-0.5164138578857712,0.7187615638273199,0.7534193110256668,0.9188641276127962,0.39951874650108576,0.24223310750226487,0.286805864304699,-78.48840577468782,-0.7843811482123568,-0.05801360907717146,0.5284564302462501,-36.36382225626727,-339.8622271519616,714.91907,107.057175,62.716988,70.754715,317.02344,87.85458,67.7788
8,dynamic,14,712.36084,111.04484,106.2421,72.9662,400.05258,165.47154,77.11985,0.787896255247453,-0.11136787555009114,0.49174591808073487,0.679541333466093,0.7997460724412563,0.2853452290185836,-0.269432738696858,-0.44500924357722127,-150.60727469894977,-7.211150911813752,-0.7598851790202428,-0.019061491671467756,-191.41101700655136,-732.7944021793613,1017.62683,147.85078,134.53745,91.25397,466.04828,199.36713,99.44702
9,hybrid,14,457.93417,61.979706,148.10976,54.170204,156.82599,168.2379,65.782326,0.8417785459746502,-0.22068610848675907,0.3541612490531123,0.707894755397193,0.9487915187078684,0.4026920635304841,0.024763290635071888,0.3187911456124992,-40.499093941788715,-11.277937345186412,0.02759815772240859,0.8047603821421021,-197.02484308649417,-431.3743040028205,698.70386,77.354065,164.51442,67.83166,203.99263,202.2548,76.33693
